시도,시군구,총계-개소수,총계-이용량,전작용-개소수,전작용-이용량,답작용-개소수,답작용-이용량,원예용-개소수,원예용-이용량,수산업용-개소수,수산업용-이용량,축산업용-개소수,축산업용-이용량,양어장용-개소수,양어장용-이용량,기타-개소수,기타-이용량
서울특별시,강남구,785,218951,288,11501,445,189232,44,17648,0,0,0,0,0,0,8,570
서울특별시,강동구,265,308436,212,227503,13,19285,21,26228,0,0,0,0,0,0,19,35420
서울특별시,강북구,1,300,1,300,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,강서구,137,227217,94,156371,29,18288,8,8886,0,0,0,0,0,0,6,43672
서울특별시,관악구,5,1018,0,0,4,1017,0,0,0,0,0,0,0,0,1,1
서울특별시,광진구,3,329549,0,0,2,328500,0,0,0,0,0,0,0,0,1,1049
서울특별시,구로구,34,64475,15,45151,14,14333,2,2360,0,0,0,0,0,0,3,2631
서울특별시,금천구,1,7200,0,0,0,0,0,0,0,0,0,0,0,0,1,7200
서울특별시,노원구,25,34511,13,17214,5,6742,6,9539,0,0,0,0,0,0,1,1016
서울특별시,도봉구,37,29663,25,22741,0,0,5,3032,0,0,0,0,0,0,7,3890
서울특별시,동대문구,3,1153,0,0,0,0,3,1153,0,0,0,0,0,0,0,0
서울특별시,동작구,4,4205,0,0,1,0,0,0,0,0,0,0,0,0,3,4205
서울특별시,마포구,7,4133,2,0,0,0,0,0,0,0,0,0,0,0,5,4133
서울특별시,서대문구,1,292,0,0,0,0,0,0,0,0,0,0,0,0,1,292
서울특별시,서초구,768,545731,77,95596,40,27856,463,286444,0,0,1,600,0,0,187,135235
서울특별시,성동구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,성북구,3,2194,0,0,1,594,1,1234,0,0,0,0,0,0,1,366
서울특별시,송파구,80,110852,9,17866,7,11247,59,75281,0,0,0,0,0,0,5,6458
서울특별시,양천구,8,20687,6,12403,0,0,2,8284,0,0,0,0,0,0,0,0
서울특별시,영등포구,4,62415,0,0,0,0,2,24090,0,0,0,0,0,0,2,38325
서울특별시,용산구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,은평구,26,11768,6,6000,10,0,6,0,0,0,0,0,0,0,4,5768
서울특별시,종로구,6,12472,0,0,4,9867,2,2605,0,0,0,0,0,0,0,0
서울특별시,중구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,중랑구,13,21134,6,12381,0,0,5,6161,0,0,0,0,0,0,2,2592
부산광역시,강서구,44,195578,15,69296,10,71980,4,7212,0,0,0,0,1,9600,14,37490
부산광역시,금정구,109,329349,37,113297,45,128002,18,51071,0,0,0,0,1,3600,8,33379
부산광역시,기장군,872,2896398,604,1966805,120,335560,99,396621,2,2473,2,4634,5,19318,40,170987
부산광역시,남구,17,52957,0,0,0,0,1,18200,0,0,0,0,0,0,16,34757
부산광역시,동구,1,800,0,0,0,0,0,0,0,0,0,0,0,0,1,800
부산광역시,동래구,6,3170,1,220,0,0,3,1799,0,0,0,0,0,0,2,1151
부산광역시,부산진구,8,30132,1,10950,0,0,6,9211,0,0,0,0,0,0,1,9971
부산광역시,북구,11,21072,5,17320,5,2566,1,1186,0,0,0,0,0,0,0,0
부산광역시,사상구,2,3075,1,2115,0,0,0,0,0,0,0,0,0,0,1,960
부산광역시,사하구,6,19280,0,0,0,0,1,730,3,12777,0,0,0,0,2,5773
부산광역시,서구,8,26139,0,0,0,0,0,0,0,0,0,0,2,18000,6,8139
부산광역시,수영구,15,138451,0,0,0,0,0,0,5,103412,0,0,3,20161,7,14878
부산광역시,연제구,2,5500,0,0,0,0,2,5500,0,0,0,0,0,0,0,0
부산광역시,영도구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,중구,2,6096,0,0,0,0,0,0,1,3066,0,0,0,0,1,3030
부산광역시,해운대구,25,207376,10,24371,1,7200,12,167184,0,0,0,0,0,0,2,8621
대구광역시,남구,9,63296,0,0,0,0,0,0,0,0,0,0,0,0,9,63296
대구광역시,달서구,27,40813,8,12900,10,11921,9,15992,0,0,0,0,0,0,0,0
대구광역시,달성군,1135,5158147,239,1170775,743,3254683,15,50624,0,0,98,146587,5,30000,35,505478
대구광역시,동구,672,1121479,457,838882,141,129494,12,15500,0,0,1,4380,1,1095,60,132128
대구광역시,북구,167,465592,89,157536,38,78793,4,39787,0,0,7,5323,1,927,28,183226
대구광역시,서구,9,50452,3,7436,2,2100,0,0,0,0,0,0,0,0,4,40916
대구광역시,수성구,134,259584,87,162258,21,17384,12,16451,0,0,0,0,0,0,14,63491
대구광역시,중구,7,80400,2,18600,0,0,0,0,0,0,0,0,0,0,5,61800
인천광역시,강화군,3514,6222700,1459,3357560,1787,1986320,133,318222,14,19007,14,26799,12,30352,95,484440
